feature,mean_abs_shap
oil_quality_index_roll_mean_24h,0.06959366414348934
days_since_maintenance,0.06829588636992254
oil_quality_index_roll_mean_6h,0.051729616298651304
oil_quality_index_roll_mean_72h,0.02856336466866633
rpm_roll_mean_24h,0.02745545548683071
motor_current_roll_mean_24h,0.0263104227941653
vibration_mm_roll_mean_24h,0.02422781873692258
pressure_psi_roll_mean_24h,0.02008589746049752
temperature_f_roll_mean_24h,0.01936240143211899
flow_rate_roll_mean_24h,0.018498713262140497
pressure_psi_roll_std_72h,0.010617708772958642
flow_rate_roll_mean_72h,0.008888873911755484
rpm_roll_mean_72h,0.008808311525748255
motor_current_roll_mean_72h,0.008348290109057828
vibration_mm_roll_mean_6h,0.008220943557552469
